                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.69255,                0.52298,                 1.0284,                0.75498,                0.75787,                0.77813,                0.67745,                0.56669,                0.43859,                 0.9538,               0.002575,               0.002575,               0.002575
                     77,                0.69352,                0.53701,                 1.0269,                0.73618,                0.75637,                0.77858,                0.67734,                0.56589,                0.43407,                0.95194,               0.002476,               0.002476,               0.002476
                     78,                0.69377,                0.52462,                  1.028,                0.75259,                 0.7519,                0.77617,                0.67667,                0.56768,                0.43656,                0.95364,               0.002377,               0.002377,               0.002377
                     79,                0.68943,                0.52066,                 1.0251,                0.76716,                0.72091,                 0.7572,                0.65939,                0.57306,                0.44967,                0.95519,               0.002278,               0.002278,               0.002278
                     80,                0.68144,                0.51652,                 1.0216,                0.73863,                0.72317,                0.75698,                0.66063,                0.56771,                0.44788,                 0.9564,               0.002179,               0.002179,               0.002179
                     81,                0.67584,                0.50447,                 1.0216,                0.76575,                0.71214,                 0.7587,                0.66225,                0.56686,                0.44382,                0.95746,                0.00208,                0.00208,                0.00208
                     82,                 0.6725,                0.50575,                 1.0207,                0.72273,                0.75309,                0.76284,                0.66568,                0.56484,                0.44522,                0.95695,               0.001981,               0.001981,               0.001981
                     83,                0.66905,                0.50786,                 1.0209,                0.72155,                0.77119,                0.75942,                  0.664,                 0.5633,                0.44326,                0.95508,               0.001882,               0.001882,               0.001882
                     84,                0.65992,                0.49077,                 1.0133,                0.75477,                0.73655,                0.76093,                0.66298,                0.56055,                0.43996,                0.95416,               0.001783,               0.001783,               0.001783
                     85,                0.66298,                0.49107,                 1.0153,                0.70475,                0.77315,                0.76382,                0.66507,                0.55987,                0.44313,                0.95715,               0.001684,               0.001684,               0.001684
                     86,                0.65844,                0.48711,                 1.0165,                0.72042,                0.76308,                0.76393,                0.66808,                 0.5595,                0.43954,                0.95865,               0.001585,               0.001585,               0.001585
                     87,                0.65227,                0.48457,                 1.0116,                0.75571,                0.72146,                0.75952,                0.66668,                0.56186,                0.44516,                0.96071,               0.001486,               0.001486,               0.001486
                     88,                0.66267,                0.49161,                 1.0192,                0.78651,                0.68065,                0.75798,                0.66504,                0.56116,                0.44706,                0.96021,               0.001387,               0.001387,               0.001387
                     89,                0.65266,                0.48567,                  1.017,                0.72263,                0.73869,                0.75724,                0.66423,                0.56169,                 0.4448,                 0.9636,               0.001288,               0.001288,               0.001288
                     90,                0.64945,                0.47597,                 1.0164,                0.74478,                0.71566,                0.75863,                0.66429,                0.56129,                0.44564,                0.96427,               0.001189,               0.001189,               0.001189
                     91,                0.46437,                0.27988,                0.87784,                0.74981,                0.72162,                0.76082,                 0.6651,                 0.5644,                0.44237,                0.96458,                0.00109,                0.00109,                0.00109
                     92,                0.45997,                0.26958,                0.87513,                0.73884,                0.74264,                0.76296,                0.66715,                0.56345,                0.44418,                 0.9637,               0.000991,               0.000991,               0.000991
                     93,                0.44957,                0.26378,                0.87222,                0.72882,                0.76036,                0.76438,                0.66784,                0.56162,                0.44205,                0.96304,               0.000892,               0.000892,               0.000892
                     94,                 0.4467,                0.25536,                0.87266,                0.76785,                 0.7285,                0.76169,                0.66621,                0.56233,                0.44617,                0.96586,               0.000793,               0.000793,               0.000793
                     95,                0.43657,                0.24868,                0.86591,                0.74274,                0.75485,                0.76294,                0.66703,                0.56082,                0.44714,                0.96576,               0.000694,               0.000694,               0.000694
                     96,                0.43754,                0.24836,                0.86929,                0.75551,                0.73894,                0.76129,                0.66381,                0.56056,                0.44697,                0.96579,               0.000595,               0.000595,               0.000595
                     97,                0.43305,                0.23933,                0.86348,                0.75143,                0.73798,                0.75821,                0.66193,                0.56142,                0.44955,                 0.9671,               0.000496,               0.000496,               0.000496
                     98,                0.42038,                0.23534,                0.85679,                0.76271,                0.73352,                0.75962,                0.66422,                0.55956,                0.44917,                0.96577,               0.000397,               0.000397,               0.000397
                     99,                0.42227,                0.23466,                0.86044,                0.72223,                0.75265,                0.75892,                0.66266,                0.55862,                0.44869,                0.96469,               0.000298,               0.000298,               0.000298
                    100,                0.41956,                0.22971,                 0.8564,                0.72813,                0.74716,                0.75703,                0.66153,                0.55851,                0.44969,                0.96541,               0.000199,               0.000199,               0.000199
