                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.90032,                0.65227,                 1.1241,                 0.4632,                0.54585,                 0.5306,                0.42042,                0.83542,                0.55078,                 1.0722,               0.003367,               0.003367,               0.003367
                     70,                0.90014,                0.64778,                  1.119,                0.47103,                0.55155,                0.52757,                0.41955,                0.83179,                0.55446,                 1.0667,               0.003268,               0.003268,               0.003268
                     71,                0.89787,                0.65038,                 1.1132,                0.48561,                0.54246,                0.53004,                0.42113,                 0.8323,                0.54709,                  1.065,               0.003169,               0.003169,               0.003169
                     72,                0.89836,                0.63981,                 1.1141,                 0.4751,                0.56061,                0.52955,                0.42046,                0.82948,                0.54355,                 1.0608,                0.00307,                0.00307,                0.00307
                     73,                0.89034,                0.63928,                 1.1126,                0.55479,                0.50078,                0.53099,                0.42006,                0.82887,                0.54553,                 1.0636,               0.002971,               0.002971,               0.002971
                     74,                0.89044,                0.62936,                 1.1095,                0.48089,                0.54882,                0.53153,                0.42241,                0.83023,                0.54639,                 1.0631,               0.002872,               0.002872,               0.002872
                     75,                0.88464,                 0.6241,                 1.1086,                0.49575,                0.53885,                0.53653,                0.42752,                 0.8348,                 0.5427,                 1.0657,               0.002773,               0.002773,               0.002773
                     76,                0.88093,                 0.6232,                 1.1126,                0.47807,                0.53693,                0.53004,                0.42228,                0.83211,                0.54831,                  1.069,               0.002674,               0.002674,               0.002674
                     77,                0.87266,                0.61883,                 1.1051,                0.49893,                0.53167,                0.53225,                0.42406,                0.82914,                0.54572,                 1.0693,               0.002575,               0.002575,               0.002575
                     78,                0.87257,                0.61549,                 1.1018,                0.48382,                0.54612,                0.53116,                0.42306,                0.82953,                0.54677,                 1.0702,               0.002476,               0.002476,               0.002476
                     79,                 0.8689,                0.61202,                 1.0997,                0.52336,                0.50472,                0.53297,                 0.4236,                 0.8309,                0.54531,                 1.0696,               0.002377,               0.002377,               0.002377
                     80,                0.86313,                0.60333,                 1.0971,                0.49466,                0.55737,                0.53503,                0.42556,                0.83487,                0.54349,                 1.0721,               0.002278,               0.002278,               0.002278
                     81,                0.85694,                0.59574,                 1.0933,                0.51379,                0.54512,                0.53155,                0.42349,                0.83707,                0.54595,                 1.0745,               0.002179,               0.002179,               0.002179
                     82,                0.85613,                0.58963,                 1.0958,                0.50065,                0.54464,                0.52933,                0.42084,                0.83831,                0.55202,                 1.0738,                0.00208,                0.00208,                0.00208
                     83,                0.85328,                0.59147,                 1.0949,                0.51143,                0.55194,                0.52956,                0.42239,                0.83753,                0.55014,                  1.074,               0.001981,               0.001981,               0.001981
                     84,                0.84877,                0.57054,                 1.0905,                 0.5021,                0.55779,                0.53238,                0.42376,                0.83728,                 0.5474,                 1.0729,               0.001882,               0.001882,               0.001882
